2023-12-27 17:21:28,817 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2023-12-27 17:21:30,436 | INFO | hilo.dataset-accessor : Fetching dataset: mnist
2023-12-27 17:21:30,436 | INFO | hilo.mnist-dataset : Initializing transform.
2023-12-27 17:21:30,436 | INFO | hilo.mnist-dataset : Verifying/downloading train data.
2023-12-27 17:21:33,953 | INFO | hilo.mnist-dataset : Verifying/downloading test data.
2023-12-27 17:21:33,960 | INFO | hilo.mnist-dataset : Creating train data loader.
2023-12-27 17:38:09,229 | INFO | hilo : Epoch 120/200 | Accuracy:  99.4792 | Loss:   0.0054
2023-12-27 17:38:18,858 | INFO | hilo : Epoch 121/200 | Accuracy: 100.0000 | Loss:   0.0048
2023-12-27 17:38:28,566 | INFO | hilo : Epoch 122/200 | Accuracy: 100.0000 | Loss:   0.0059
2023-12-27 17:38:38,358 | INFO | hilo : Epoch 123/200 | Accuracy:  99.6094 | Loss:   0.0018
2023-12-27 17:38:48,205 | INFO | hilo : Epoch 124/200 | Accuracy: 100.0000 | Loss:   0.0009
2023-12-27 17:38:58,006 | INFO | hilo : Epoch 125/200 | Accuracy:  99.5739 | Loss:   0.0018
2023-12-27 17:39:07,922 | INFO | hilo : Epoch 126/200 | Accuracy: 100.0000 | Loss:   0.0002
2023-12-27 17:39:17,758 | INFO | hilo : Epoch 127/200 | Accuracy:  99.5833 | Loss:   0.0018
2023-12-27 17:39:27,688 | INFO | hilo : Epoch 128/200 | Accuracy:  99.4531 | Loss:   0.0039
2023-12-27 17:39:37,700 | INFO | hilo : Epoch 129/200 | Accuracy:  99.7768 | Loss:   0.0012
2023-12-27 17:39:47,587 | INFO | hilo : Epoch 130/200 | Accuracy: 100.0000 | Loss:   0.0022
2023-12-27 17:39:57,559 | INFO | hilo : Epoch 131/200 | Accuracy: 100.0000 | Loss:   0.0020
2023-12-27 17:40:07,490 | INFO | hilo : Epoch 132/200 | Accuracy: 100.0000 | Loss:   0.0006
2023-12-27 17:40:17,451 | INFO | hilo : Epoch 133/200 | Accuracy: 100.0000 | Loss:   0.0030
2023-12-27 17:40:27,388 | INFO | hilo : Epoch 134/200 | Accuracy: 100.0000 | Loss:   0.0041
2023-12-27 17:40:37,492 | INFO | hilo : Epoch 135/200 | Accuracy: 100.0000 | Loss:   0.0024
2023-12-27 17:40:47,656 | INFO | hilo : Epoch 136/200 | Accuracy: 100.0000 | Loss:   0.0006
2023-12-27 17:40:57,730 | INFO | hilo : Epoch 137/200 | Accuracy: 100.0000 | Loss:   0.0039
2023-12-27 17:41:07,887 | INFO | hilo : Epoch 138/200 | Accuracy: 100.0000 | Loss:   0.0064
2023-12-27 17:41:18,095 | INFO | hilo : Epoch 139/200 | Accuracy: 100.0000 | Loss:   0.0031
2023-12-27 17:41:28,230 | INFO | hilo : Epoch 140/200 | Accuracy: 100.0000 | Loss:   0.0011
2023-12-27 17:41:38,544 | INFO | hilo : Epoch 141/200 | Accuracy: 100.0000 | Loss:   0.0022
2023-12-27 17:41:48,868 | INFO | hilo : Epoch 142/200 | Accuracy: 100.0000 | Loss:   0.0016
2023-12-27 17:41:59,042 | INFO | hilo : Epoch 143/200 | Accuracy: 100.0000 | Loss:   0.0024
2023-12-27 17:42:09,253 | INFO | hilo : Epoch 144/200 | Accuracy: 100.0000 | Loss:   0.0027
2023-12-27 17:42:19,607 | INFO | hilo : Epoch 145/200 | Accuracy: 100.0000 | Loss:   0.0027
2023-12-27 17:42:29,789 | INFO | hilo : Epoch 146/200 | Accuracy:  99.5660 | Loss:   0.0017
2023-12-27 17:42:40,075 | INFO | hilo : Epoch 147/200 | Accuracy:  99.6528 | Loss:   0.0026
2023-12-27 17:42:50,501 | INFO | hilo : Epoch 148/200 | Accuracy:  99.6094 | Loss:   0.0002
2023-12-27 17:43:00,952 | INFO | hilo : Epoch 149/200 | Accuracy: 100.0000 | Loss:   0.0006
2023-12-27 17:43:11,334 | INFO | hilo : Epoch 150/200 | Accuracy: 100.0000 | Loss:   0.0045
2023-12-27 17:43:21,730 | INFO | hilo : Epoch 151/200 | Accuracy:  99.5028 | Loss:   0.0017
2023-12-27 17:43:32,332 | INFO | hilo : Epoch 152/200 | Accuracy:  99.6094 | Loss:   0.0004
2023-12-27 17:43:42,892 | INFO | hilo : Epoch 153/200 | Accuracy:  99.5502 | Loss:   0.0001
2023-12-27 17:43:53,358 | INFO | hilo : Epoch 154/200 | Accuracy: 100.0000 | Loss:   0.0038
2023-12-27 17:44:03,849 | INFO | hilo : Epoch 155/200 | Accuracy: 100.0000 | Loss:   0.0010
2023-12-27 17:44:14,369 | INFO | hilo : Epoch 156/200 | Accuracy: 100.0000 | Loss:   0.0023
2023-12-27 17:44:24,872 | INFO | hilo : Epoch 157/200 | Accuracy: 100.0000 | Loss:   0.0008
2023-12-27 17:44:35,347 | INFO | hilo : Epoch 158/200 | Accuracy: 100.0000 | Loss:   0.0006
2023-12-27 17:44:45,888 | INFO | hilo : Epoch 159/200 | Accuracy: 100.0000 | Loss:   0.0018
2023-12-27 17:44:56,431 | INFO | hilo : Epoch 160/200 | Accuracy: 100.0000 | Loss:   0.0012
2023-12-27 17:45:07,015 | INFO | hilo : Epoch 161/200 | Accuracy: 100.0000 | Loss:   0.0007
2023-12-27 17:45:17,552 | INFO | hilo : Epoch 162/200 | Accuracy: 100.0000 | Loss:   0.0003
