MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
resnet,imagenet,gumbel,10,--,--,--
resnet,imagenet,gumbel,11,--,--,--
resnet,imagenet,gumbel,12,--,--,--
resnet,imagenet,gumbel,13,--,--,--
resnet,imagenet,gumbel,14,--,--,--
resnet,imagenet,laplace,1,--,--,--
resnet,imagenet,laplace,2,--,--,--
resnet,imagenet,laplace,3,--,--,--
resnet,imagenet,laplace,4,--,--,--
resnet,imagenet,laplace,5,--,--,--
resnet,imagenet,laplace,6,--,--,--
resnet,imagenet,laplace,7,--,--,--
resnet,imagenet,laplace,8,--,--,--
resnet,imagenet,laplace,9,--,--,--
resnet,imagenet,laplace,10,--,--,--
resnet,imagenet,laplace,11,--,--,--
resnet,imagenet,laplace,12,--,--,--
resnet,imagenet,laplace,13,--,--,--
resnet,imagenet,laplace,14,--,--,--
resnet,imagenet,poisson,1,--,--,--
resnet,imagenet,poisson,2,--,--,--
resnet,imagenet,poisson,3,--,--,--
resnet,imagenet,poisson,4,--,--,--
resnet,imagenet,poisson,5,--,--,--
resnet,imagenet,poisson,6,--,--,--
resnet,imagenet,poisson,7,--,--,--
resnet,imagenet,poisson,8,--,--,--
resnet,imagenet,poisson,9,--,--,--
resnet,imagenet,poisson,10,--,--,--
resnet,imagenet,poisson,11,--,--,--
resnet,imagenet,poisson,12,--,--,--
resnet,imagenet,poisson,13,--,--,--
resnet,imagenet,poisson,14,--,--,--
resnet,mnist,none,--,--,--,--
resnet,mnist,cauchy,1,--,--,--
resnet,mnist,cauchy,2,--,--,--
resnet,mnist,cauchy,3,--,--,--
resnet,mnist,cauchy,4,--,--,--
resnet,mnist,cauchy,5,--,--,--
resnet,mnist,cauchy,6,--,--,--
resnet,mnist,cauchy,7,--,--,--
resnet,mnist,cauchy,8,--,--,--
resnet,mnist,cauchy,9,--,--,--
resnet,mnist,cauchy,10,--,--,--
resnet,mnist,cauchy,11,--,--,--
resnet,mnist,cauchy,12,--,--,--
resnet,mnist,cauchy,13,--,--,--
resnet,mnist,cauchy,14,--,--,--
resnet,mnist,gaussian,1,--,--,--
resnet,mnist,gaussian,2,--,--,--
resnet,mnist,gaussian,3,--,--,--
resnet,mnist,gaussian,4,--,--,--
resnet,mnist,gaussian,5,--,--,--
resnet,mnist,gaussian,6,--,--,--
resnet,mnist,gaussian,7,--,--,--
resnet,mnist,gaussian,8,--,--,--
resnet,mnist,gaussian,9,--,--,--
resnet,mnist,gaussian,10,--,--,--
resnet,mnist,gaussian,11,--,--,--
resnet,mnist,gaussian,12,--,--,--
resnet,mnist,gaussian,13,--,--,--
resnet,mnist,gaussian,14,--,--,--
resnet,mnist,gumbel,1,--,--,--
resnet,mnist,gumbel,2,--,--,--
resnet,mnist,gumbel,3,--,--,--
resnet,mnist,gumbel,4,--,--,--
resnet,mnist,gumbel,5,--,--,--
resnet,mnist,gumbel,6,--,--,--
resnet,mnist,gumbel,7,--,--,--
resnet,mnist,gumbel,8,--,--,--
resnet,mnist,gumbel,9,--,--,--
resnet,mnist,gumbel,10,--,--,--
resnet,mnist,gumbel,11,--,--,--
resnet,mnist,gumbel,12,--,--,--
resnet,mnist,gumbel,13,--,--,--
resnet,mnist,gumbel,14,--,--,--
resnet,mnist,laplace,1,--,--,--
resnet,mnist,laplace,2,--,--,--
resnet,mnist,laplace,3,--,--,--
resnet,mnist,laplace,4,--,--,--
resnet,mnist,laplace,5,--,--,--
resnet,mnist,laplace,6,--,--,--
resnet,mnist,laplace,7,--,--,--
resnet,mnist,laplace,8,--,--,--
resnet,mnist,laplace,9,--,--,--
resnet,mnist,laplace,10,--,--,--
resnet,mnist,laplace,11,--,--,--
resnet,mnist,laplace,12,--,--,--
resnet,mnist,laplace,13,--,--,--
resnet,mnist,laplace,14,--,--,--
resnet,mnist,poisson,1,--,--,--
resnet,mnist,poisson,2,--,--,--
resnet,mnist,poisson,3,--,--,--
resnet,mnist,poisson,4,--,--,--
resnet,mnist,poisson,5,--,--,--
resnet,mnist,poisson,6,--,--,--
resnet,mnist,poisson,7,--,--,--
resnet,mnist,poisson,8,--,--,--
resnet,mnist,poisson,9,--,--,--
resnet,mnist,poisson,10,--,--,--
resnet,mnist,poisson,11,--,--,--
resnet,mnist,poisson,12,--,--,--
resnet,mnist,poisson,13,--,--,--
